node,latency_ms,deadline_ms
sensor,0.09700001101009548,100.0
sensor,0.3176000027451664,100.0
sensor,0.13150001177564263,100.0
sensor,0.09319998207502067,100.0
sensor,0.11530000483617187,100.0
sensor,0.10380000458098948,100.0
sensor,0.11870000162161887,100.0
sensor,0.08440000237897038,100.0
sensor,0.11230001109652221,100.0
sensor,0.05599998985417187,100.0
sensor,0.08709999383427203,100.0
sensor,0.07529999129474163,100.0
sensor,0.3763999848160893,100.0
sensor,0.0847000046633184,100.0
sensor,0.10699999984353781,100.0
sensor,0.148899998748675,100.0
sensor,0.07490001735277474,100.0
sensor,0.1419000036548823,100.0
sensor,0.11970000923611224,100.0
sensor,0.08370002615265548,100.0
